person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,previous_loan_defaults_on_file,years_to_pay,loan_amount,monthly_payment
22.0,male,High School,56215.0,0,RENT,DEBTCONSOLIDATION,11.01,0.11,4.0,No,31,321000,862
23.0,female,Associate,54781.0,1,MORTGAGE,MEDICAL,10.74,0.09,2.0,No,31,323500,869
23.0,male,High School,18530.0,0,RENT,VENTURE,15.27,0.34,2.0,No,30,310500,862
22.0,male,Associate,20201.0,0,RENT,VENTURE,9.91,0.31,2.0,No,31,323500,869
22.0,male,Master,23925.0,0,RENT,DEBTCONSOLIDATION,7.51,0.26,3.0,No,29,289500,831
25.0,male,Master,24429.0,4,RENT,EDUCATION,15.31,0.26,2.0,No,32,359000,934
23.0,male,Associate,23966.0,0,RENT,HOMEIMPROVEMENT,16.82,0.26,4.0,No,31,338000,908
22.0,female,Bachelor,24665.0,0,RENT,EDUCATION,11.01,0.25,3.0,No,30,306500,851
22.0,male,High School,33078.0,1,RENT,MEDICAL,15.99,0.19,4.0,No,30,309000,858
21.0,female,Master,55191.0,0,MORTGAGE,DEBTCONSOLIDATION,15.31,0.14,3.0,No,27,262000,808
25.0,female,Bachelor,61286.0,0,RENT,MEDICAL,15.57,0.11,3.0,No,30,321000,891
23.0,female,Bachelor,63569.0,1,RENT,MEDICAL,13.85,0.11,4.0,No,30,318500,884
25.0,female,Master,65550.0,6,RENT,DEBTCONSOLIDATION,20.0,0.11,3.0,No,29,300500,863
24.0,female,High School,65618.0,3,RENT,DEBTCONSOLIDATION,15.99,0.11,3.0,No,31,336500,904
22.0,male,Bachelor,65801.0,0,RENT,MEDICAL,14.96,0.11,4.0,No,32,337000,877
22.0,male,High School,65781.0,0,RENT,PERSONAL,14.96,0.11,3.0,No,25,218500,728
23.0,female,High School,55516.0,0,MORTGAGE,DEBTCONSOLIDATION,13.16,0.08,3.0,No,26,254500,815
24.0,male,Bachelor,72818.0,0,RENT,EDUCATION,7.51,0.1,4.0,No,31,331000,889
25.0,female,Associate,56239.0,1,MORTGAGE,HOMEIMPROVEMENT,12.68,0.2,2.0,No,28,292000,869
22.0,female,High School,66136.0,0,RENT,MEDICAL,11.01,0.11,2.0,No,32,340500,886
23.0,male,Associate,80563.0,1,RENT,VENTURE,17.04,0.09,4.0,No,31,327500,880
21.0,female,Bachelor,56178.0,0,MORTGAGE,EDUCATION,13.16,0.3,4.0,No,28,272000,809
23.0,male,Bachelor,56153.0,2,MORTGAGE,PERSONAL,12.69,0.17,4.0,No,29,295500,849
23.0,male,High School,90335.0,0,RENT,HOMEIMPROVEMENT,6.03,0.08,3.0,No,28,282000,839
23.0,female,Associate,92393.0,0,RENT,PERSONAL,14.96,0.08,4.0,No,29,301500,866
25.0,male,Associate,80815.0,3,RENT,MEDICAL,9.25,0.09,3.0,No,28,297000,883
22.0,male,High School,35313.0,3,RENT,HOMEIMPROVEMENT,14.84,0.18,4.0,No,30,312500,868
22.0,male,High School,35836.0,0,RENT,PERSONAL,16.07,0.17,3.0,No,31,322500,866
26.0,female,Bachelor,55915.0,4,MORTGAGE,HOMEIMPROVEMENT,9.99,0.13,3.0,No,28,303500,903
24.0,female,Master,55760.0,0,MORTGAGE,MEDICAL,15.99,0.18,3.0,No,31,328500,883
25.0,male,Bachelor,56329.0,2,MORTGAGE,MEDICAL,10.99,0.11,3.0,No,27,275500,850
24.0,female,Associate,16183.0,0,RENT,VENTURE,13.85,0.39,3.0,No,30,315500,876
24.0,male,Associate,55979.0,6,MORTGAGE,PERSONAL,12.99,0.52,2.0,No,29,300500,863
22.0,male,High School,86016.0,0,RENT,MEDICAL,15.88,0.08,3.0,No,29,300000,862
24.0,male,High School,30624.0,0,RENT,MEDICAL,14.42,0.23,3.0,No,31,334500,899
24.0,female,Bachelor,56074.0,0,MORTGAGE,DEBTCONSOLIDATION,14.83,0.21,3.0,No,31,344000,924
24.0,female,Bachelor,55898.0,0,MORTGAGE,EDUCATION,7.88,0.21,4.0,No,30,315000,875
24.0,male,Master,71342.0,5,RENT,MEDICAL,14.91,0.09,2.0,No,31,329000,884
23.0,male,Associate,90157.0,0,RENT,PERSONAL,12.92,0.07,3.0,No,32,340500,886
25.0,male,High School,22616.0,2,RENT,MEDICAL,11.01,0.29,3.0,No,30,324500,901
22.0,female,Bachelor,24993.0,0,RENT,DEBTCONSOLIDATION,10.99,0.26,2.0,No,33,352000,888
21.0,female,Master,26038.0,0,RENT,EDUCATION,11.89,0.25,4.0,No,31,329500,885
24.0,female,Master,27134.0,1,RENT,VENTURE,14.79,0.24,4.0,No,31,332500,893
26.0,male,Bachelor,31074.0,5,RENT,MEDICAL,14.09,0.21,2.0,No,31,351500,944
25.0,female,Bachelor,56206.0,3,OWN,DEBTCONSOLIDATION,16.7,0.35,4.0,No,31,340000,913
22.0,female,High School,56431.0,0,MORTGAGE,MEDICAL,12.53,0.14,3.0,No,28,276500,822
24.0,male,Associate,56092.0,1,MORTGAGE,PERSONAL,12.53,0.27,2.0,No,28,285500,849
26.0,female,Bachelor,56486.0,4,MORTGAGE,EDUCATION,19.16,0.09,3.0,No,30,337500,937
22.0,female,High School,41844.0,0,RENT,PERSONAL,13.22,0.16,3.0,No,30,303500,843
22.0,female,Associate,43218.0,1,RENT,HOMEIMPROVEMENT,15.95,0.15,2.0,No,31,320000,860
23.0,male,High School,44370.0,5,RENT,DEBTCONSOLIDATION,17.49,0.15,2.0,No,31,338000,908
22.0,male,Master,57007.0,0,MORTGAGE,DEBTCONSOLIDATION,12.86,0.26,4.0,No,30,311000,863
22.0,female,Associate,56560.0,0,MORTGAGE,DEBTCONSOLIDATION,12.69,0.17,4.0,No,30,308000,855
22.0,female,High School,55065.0,0,RENT,MEDICAL,13.99,0.12,2.0,No,31,324000,870
23.0,male,Master,56660.0,0,MORTGAGE,MEDICAL,7.49,0.09,3.0,No,29,304000,873
25.0,female,Bachelor,57073.0,2,MORTGAGE,PERSONAL,12.69,0.04,3.0,No,27,270000,833
25.0,female,High School,57142.0,2,MORTGAGE,MEDICAL,5.42,0.11,4.0,No,29,309500,889
24.0,male,Master,26741.0,1,RENT,EDUCATION,12.68,0.25,4.0,No,28,293000,872
26.0,female,Master,57291.0,0,MORTGAGE,MEDICAL,12.87,0.09,4.0,No,30,335500,931
24.0,male,Associate,36878.0,4,RENT,HOMEIMPROVEMENT,13.06,0.18,2.0,No,30,321000,891
22.0,female,Bachelor,51398.0,0,RENT,MEDICAL,16.89,0.13,3.0,No,30,304000,844
25.0,male,Bachelor,57482.0,5,MORTGAGE,EDUCATION,6.62,0.21,2.0,No,30,320000,888
25.0,female,Associate,16991.0,2,RENT,DEBTCONSOLIDATION,8.63,0.39,3.0,No,29,307500,883
23.0,male,High School,21465.0,0,RENT,EDUCATION,6.03,0.31,3.0,No,29,297500,854
21.0,male,High School,34659.0,0,RENT,DEBTCONSOLIDATION,13.06,0.19,2.0,No,32,337500,878
22.0,male,High School,57324.0,1,MORTGAGE,MEDICAL,10.37,0.42,4.0,No,31,323000,868
22.0,male,Bachelor,14840.0,1,RENT,EDUCATION,7.66,0.45,4.0,No,28,271500,808
21.0,male,Bachelor,26675.0,0,RENT,DEBTCONSOLIDATION,6.92,0.25,4.0,No,28,275000,818
22.0,male,Bachelor,34173.0,0,RENT,VENTURE,15.31,0.2,3.0,No,32,348000,906
22.0,male,Bachelor,44175.0,0,RENT,PERSONAL,14.11,0.15,4.0,No,32,347000,903
23.0,male,Bachelor,57255.0,0,MORTGAGE,MEDICAL,14.35,0.28,3.0,No,32,343500,894
25.0,male,Bachelor,51288.0,3,RENT,MEDICAL,17.27,0.13,2.0,No,26,251000,804
24.0,male,Master,37614.0,1,RENT,EDUCATION,20.0,0.18,3.0,No,29,306000,879
22.0,male,High School,39160.0,0,RENT,VENTURE,14.11,0.17,2.0,No,28,279500,831
23.0,male,High School,56174.0,0,RENT,VENTURE,15.65,0.12,4.0,No,31,333000,895
23.0,female,High School,57332.0,1,RENT,HOMEIMPROVEMENT,10.65,0.12,2.0,No,27,267500,825
23.0,male,Bachelor,59147.0,1,RENT,PERSONAL,6.54,0.11,4.0,No,28,287000,854
23.0,male,Master,57449.0,0,MORTGAGE,MEDICAL,7.49,0.44,3.0,No,32,352500,917
25.0,female,Master,116378.0,0,RENT,MEDICAL,14.61,0.06,2.0,No,30,327500,909
23.0,male,Bachelor,96701.0,2,RENT,PERSONAL,6.99,0.07,3.0,No,26,248000,794
26.0,male,Associate,58104.0,1,MORTGAGE,HOMEIMPROVEMENT,14.61,0.1,3.0,No,30,336000,933
22.0,male,High School,36054.0,0,RENT,HOMEIMPROVEMENT,11.01,0.18,3.0,No,31,318500,856
25.0,male,High School,38245.0,3,RENT,HOMEIMPROVEMENT,14.42,0.17,3.0,No,31,345500,928
21.0,male,High School,24786.0,0,RENT,PERSONAL,10.99,0.26,3.0,No,27,261000,805
25.0,male,Associate,35939.0,6,RENT,HOMEIMPROVEMENT,16.29,0.18,2.0,No,26,255500,818
22.0,male,Master,37042.0,1,RENT,HOMEIMPROVEMENT,15.99,0.17,2.0,No,29,298500,857
22.0,male,Bachelor,37187.0,2,RENT,DEBTCONSOLIDATION,16.0,0.17,3.0,No,29,298000,856
23.0,male,Associate,58085.0,0,MORTGAGE,MEDICAL,10.95,0.31,3.0,No,29,304500,875
26.0,female,High School,42121.0,8,RENT,HOMEIMPROVEMENT,17.49,0.15,3.0,No,27,276500,853
22.0,male,High School,35804.0,2,RENT,DEBTCONSOLIDATION,15.95,0.18,4.0,No,32,338000,880
22.0,female,Bachelor,46652.0,2,RENT,DEBTCONSOLIDATION,20.0,0.14,3.0,No,31,332000,892
26.0,female,Associate,58786.0,5,MORTGAGE,EDUCATION,5.99,0.26,2.0,No,29,313500,900
22.0,female,Bachelor,58475.0,1,MORTGAGE,VENTURE,15.99,0.11,2.0,No,27,267500,825
25.0,male,Bachelor,58686.0,4,MORTGAGE,PERSONAL,8.49,0.04,3.0,No,31,337500,907
21.0,male,High School,58379.0,0,MORTGAGE,DEBTCONSOLIDATION,15.62,0.31,3.0,No,29,294500,846
24.0,female,Bachelor,60175.0,1,RENT,MEDICAL,11.01,0.11,3.0,No,31,336000,903
26.0,male,High School,83748.0,4,RENT,EDUCATION,16.4,0.08,4.0,No,28,295000,877
23.0,male,Bachelor,58716.0,4,MORTGAGE,MEDICAL,14.83,0.02,2.0,No,32,350500,912
24.0,male,High School,90080.0,2,RENT,DEBTCONSOLIDATION,20.0,0.08,2.0,No,31,333000,895
26.0,male,Associate,58902.0,7,MORTGAGE,MEDICAL,7.14,0.08,2.0,No,28,289500,861
22.0,male,Associate,57573.0,3,RENT,DEBTCONSOLIDATION,10.65,0.12,4.0,No,31,334000,897
24.0,female,Bachelor,40223.0,2,RENT,HOMEIMPROVEMENT,17.56,0.17,3.0,No,28,291500,867
23.0,male,High School,58629.0,0,MORTGAGE,DEBTCONSOLIDATION,14.59,0.29,2.0,No,29,301500,866
26.0,male,Associate,41510.0,1,RENT,DEBTCONSOLIDATION,15.99,0.17,3.0,No,27,280500,865
21.0,male,Associate,58454.0,0,MORTGAGE,EDUCATION,10.25,0.06,3.0,No,30,309000,858
21.0,male,Associate,32432.0,0,RENT,PERSONAL,14.84,0.22,3.0,No,31,319000,857
24.0,female,High School,34285.0,2,RENT,PERSONAL,15.62,0.2,4.0,No,29,295000,847
22.0,male,High School,58543.0,0,MORTGAGE,EDUCATION,16.0,0.2,4.0,No,29,285500,820
21.0,female,Master,37353.0,0,RENT,PERSONAL,10.99,0.19,2.0,No,30,304000,844
22.0,male,Master,36699.0,0,RENT,DEBTCONSOLIDATION,16.49,0.19,3.0,No,31,319000,857
22.0,female,Bachelor,36954.0,3,RENT,MEDICAL,9.62,0.19,4.0,No,31,323500,869
22.0,male,High School,36879.0,2,RENT,MEDICAL,17.58,0.19,2.0,No,27,262000,808
24.0,female,High School,59120.0,2,MORTGAGE,DEBTCONSOLIDATION,15.7,0.17,2.0,No,27,272500,841
23.0,male,High School,39521.0,1,RENT,HOMEIMPROVEMENT,14.26,0.18,4.0,No,30,311500,865
22.0,female,Associate,58975.0,0,MORTGAGE,EDUCATION,12.42,0.2,4.0,No,31,323000,868
24.0,male,Master,59036.0,0,MORTGAGE,EDUCATION,11.01,0.14,4.0,No,32,349500,910
24.0,female,High School,40928.0,4,RENT,MEDICAL,14.27,0.17,3.0,No,30,322500,895
24.0,male,Master,41841.0,0,RENT,DEBTCONSOLIDATION,13.16,0.17,3.0,No,32,354000,921
23.0,male,Associate,42918.0,1,RENT,MEDICAL,11.99,0.16,2.0,No,31,325000,873
25.0,male,High School,59746.0,1,MORTGAGE,PERSONAL,15.23,0.1,3.0,No,30,323000,897
21.0,male,High School,35775.0,0,RENT,MEDICAL,12.61,0.2,2.0,No,29,291500,837
22.0,male,Bachelor,36375.0,0,RENT,EDUCATION,14.22,0.19,3.0,No,30,312000,866
25.0,female,Bachelor,36942.0,0,RENT,EDUCATION,11.01,0.19,2.0,No,26,249500,799
23.0,male,Associate,38230.0,0,RENT,HOMEIMPROVEMENT,11.01,0.18,3.0,No,29,305500,877
21.0,female,Associate,59839.0,0,MORTGAGE,VENTURE,15.58,0.25,3.0,No,30,305000,847
25.0,male,Bachelor,59829.0,0,MORTGAGE,PERSONAL,9.88,0.08,2.0,No,28,297500,885
22.0,male,Associate,39441.0,0,RENT,PERSONAL,11.01,0.18,4.0,No,31,330000,887
22.0,female,Associate,59391.0,0,OTHER,DEBTCONSOLIDATION,14.11,0.17,4.0,No,29,284500,817
24.0,female,High School,41706.0,1,RENT,EDUCATION,17.04,0.17,2.0,No,30,312500,868
23.0,female,Associate,42200.0,3,RENT,DEBTCONSOLIDATION,18.3,0.17,3.0,No,30,316000,877
22.0,male,Master,43352.0,0,RENT,MEDICAL,18.09,0.16,2.0,No,32,336000,875
26.0,female,High School,44060.0,2,RENT,MEDICAL,13.98,0.16,2.0,No,29,306000,879
26.0,female,Bachelor,44113.0,4,RENT,DEBTCONSOLIDATION,14.96,0.16,4.0,No,29,314000,902
22.0,male,High School,44754.0,1,RENT,MEDICAL,9.99,0.16,4.0,No,29,294000,844
25.0,male,Bachelor,59530.0,0,MORTGAGE,MEDICAL,11.99,0.31,4.0,No,30,331000,919
22.0,male,Associate,45416.0,0,RENT,DEBTCONSOLIDATION,7.9,0.15,4.0,No,29,285500,820
23.0,male,Bachelor,59512.0,0,MORTGAGE,VENTURE,17.99,0.19,4.0,No,29,298500,857
22.0,male,Associate,47729.0,0,RENT,PERSONAL,8.9,0.15,3.0,No,30,313000,869
25.0,male,High School,59504.0,2,MORTGAGE,EDUCATION,11.01,0.12,4.0,No,28,290500,864
23.0,male,High School,47988.0,0,RENT,VENTURE,16.77,0.15,3.0,No,29,305000,876
21.0,female,High School,59770.0,0,MORTGAGE,MEDICAL,11.99,0.03,2.0,No,30,305000,847
24.0,male,Bachelor,47802.0,5,RENT,PERSONAL,14.42,0.15,4.0,No,29,298000,856
22.0,male,Bachelor,50898.0,0,RENT,VENTURE,15.7,0.14,3.0,No,32,341000,888
22.0,male,High School,59480.0,0,MORTGAGE,PERSONAL,5.79,0.17,4.0,No,31,318000,854
21.0,female,High School,53492.0,0,RENT,HOMEIMPROVEMENT,11.46,0.13,2.0,No,30,309500,859
21.0,female,Bachelor,54898.0,0,RENT,PERSONAL,14.96,0.13,4.0,No,32,331000,861
26.0,female,Associate,59573.0,4,MORTGAGE,DEBTCONSOLIDATION,16.45,0.22,3.0,No,30,324000,900
24.0,male,Associate,59756.0,2,RENT,EDUCATION,7.49,0.12,3.0,No,28,284000,845
23.0,male,High School,59787.0,0,MORTGAGE,MEDICAL,15.21,0.08,2.0,No,30,314000,872
22.0,female,High School,18121.0,0,RENT,DEBTCONSOLIDATION,11.71,0.4,4.0,No,30,305500,848
22.0,male,Bachelor,26036.0,4,RENT,DEBTCONSOLIDATION,6.91,0.28,4.0,No,28,269500,802
26.0,male,Bachelor,27234.0,7,RENT,VENTURE,10.38,0.26,3.0,No,29,312000,896
25.0,male,Master,27892.0,4,RENT,VENTURE,5.79,0.26,2.0,No,30,328000,911
24.0,female,Associate,28973.0,5,RENT,DEBTCONSOLIDATION,12.69,0.25,2.0,No,30,312000,866
23.0,male,Associate,31280.0,2,RENT,EDUCATION,11.86,0.23,4.0,No,31,335000,900
22.0,female,High School,59890.0,1,MORTGAGE,EDUCATION,10.25,0.13,4.0,No,30,310000,861
22.0,female,High School,36715.0,0,RENT,MEDICAL,8.9,0.2,2.0,No,30,316500,879
21.0,male,Associate,39065.0,0,RENT,DEBTCONSOLIDATION,11.71,0.18,4.0,No,32,339000,882
23.0,male,Associate,59747.0,0,MORTGAGE,PERSONAL,19.82,0.25,2.0,No,30,318500,884
23.0,male,Associate,38068.0,0,RENT,DEBTCONSOLIDATION,14.54,0.19,3.0,No,31,324000,870
24.0,female,Bachelor,59465.0,4,MORTGAGE,MEDICAL,12.18,0.08,3.0,No,29,298500,857
22.0,male,Associate,47813.0,1,RENT,HOMEIMPROVEMENT,9.45,0.15,3.0,No,29,286000,821
22.0,female,High School,59683.0,0,MORTGAGE,EDUCATION,8.0,0.17,2.0,No,29,298500,857
22.0,male,Master,59634.0,3,MORTGAGE,VENTURE,11.28,0.08,4.0,No,32,343500,894
24.0,female,Bachelor,59776.0,2,OTHER,PERSONAL,11.34,0.33,4.0,No,31,334000,897
25.0,female,Master,60522.0,7,RENT,PERSONAL,10.38,0.12,2.0,No,30,332000,922
23.0,female,Master,60843.0,1,RENT,MEDICAL,17.58,0.12,2.0,No,27,269500,831
23.0,female,Bachelor,61864.0,2,RENT,DEBTCONSOLIDATION,14.67,0.12,3.0,No,30,323000,897
22.0,female,High School,59865.0,0,MORTGAGE,MEDICAL,12.68,0.11,2.0,No,30,317500,881
24.0,male,Master,60126.0,2,MORTGAGE,MEDICAL,11.01,0.04,2.0,No,31,340000,913
23.0,male,Master,75492.0,3,RENT,EDUCATION,7.9,0.1,3.0,No,31,338000,908
26.0,male,Bachelor,60702.0,3,MORTGAGE,VENTURE,13.11,0.25,3.0,No,30,327000,908
23.0,male,Master,60802.0,0,MORTGAGE,DEBTCONSOLIDATION,14.54,0.26,2.0,No,33,362000,914
23.0,female,Bachelor,60541.0,0,MORTGAGE,PERSONAL,7.29,0.2,3.0,No,28,277500,825
25.0,female,Bachelor,89072.0,0,RENT,PERSONAL,14.96,0.08,3.0,No,29,305500,877
25.0,female,High School,61178.0,3,MORTGAGE,EDUCATION,11.49,0.03,3.0,No,28,295000,877
23.0,male,High School,61376.0,5,MORTGAGE,MEDICAL,10.37,0.08,2.0,No,29,298000,856
25.0,female,High School,60597.0,3,MORTGAGE,PERSONAL,7.49,0.21,4.0,No,31,336000,903
23.0,male,Associate,61475.0,5,MORTGAGE,MEDICAL,15.62,0.12,3.0,No,32,346500,902
24.0,female,Bachelor,15935.0,2,RENT,VENTURE,6.92,0.46,2.0,No,32,355000,924
25.0,female,High School,51352.0,4,RENT,EDUCATION,16.32,0.14,4.0,No,31,343000,922
24.0,female,Bachelor,53990.0,0,RENT,PERSONAL,13.99,0.14,4.0,No,30,312000,866
21.0,male,Master,16145.0,0,RENT,EDUCATION,7.05,0.46,4.0,No,27,260500,804
24.0,male,Associate,26031.0,0,RENT,VENTURE,7.88,0.29,3.0,No,31,333000,895
23.0,female,High School,25722.0,0,RENT,DEBTCONSOLIDATION,6.91,0.29,4.0,No,26,255000,817
23.0,male,Bachelor,26467.0,0,RENT,PERSONAL,7.14,0.28,3.0,No,29,304500,875
25.0,male,Associate,26816.0,0,RENT,MEDICAL,11.34,0.28,2.0,No,27,275500,850
22.0,female,High School,28354.0,0,RENT,MEDICAL,9.76,0.26,4.0,No,29,294000,844
24.0,male,High School,28862.0,4,RENT,EDUCATION,13.24,0.26,2.0,No,32,350000,911
22.0,male,Master,31489.0,0,RENT,MEDICAL,14.96,0.24,3.0,No,27,255000,787
25.0,female,Associate,34756.0,0,RENT,EDUCATION,15.33,0.22,3.0,No,29,302000,867
26.0,female,High School,36877.0,0,RENT,PERSONAL,14.75,0.2,3.0,No,28,304500,906
23.0,female,Master,37025.0,2,RENT,PERSONAL,13.24,0.2,3.0,No,28,284500,846
26.0,male,Bachelor,41611.0,2,RENT,DEBTCONSOLIDATION,7.9,0.18,3.0,No,28,302000,898
22.0,female,Associate,42433.0,0,RENT,HOMEIMPROVEMENT,15.05,0.18,2.0,No,30,308500,856
21.0,male,Bachelor,35675.0,0,RENT,MEDICAL,11.01,0.21,2.0,No,30,309500,859
24.0,female,High School,61403.0,5,MORTGAGE,EDUCATION,15.62,0.1,2.0,No,31,337000,905
26.0,male,Associate,37199.0,6,RENT,PERSONAL,12.18,0.2,3.0,No,30,325000,902
25.0,male,High School,61418.0,1,MORTGAGE,DEBTCONSOLIDATION,16.89,0.2,4.0,No,30,320000,888
22.0,female,Master,40146.0,2,RENT,VENTURE,14.27,0.19,2.0,No,31,334500,899
22.0,male,Bachelor,42029.0,0,RENT,MEDICAL,12.53,0.18,4.0,No,30,315000,875
23.0,male,Bachelor,44325.0,0,RENT,PERSONAL,12.61,0.17,2.0,No,31,328000,881
21.0,male,High School,45480.0,0,RENT,HOMEIMPROVEMENT,14.84,0.16,2.0,No,31,329000,884
25.0,male,High School,62177.0,4,MORTGAGE,DEBTCONSOLIDATION,16.77,0.09,2.0,No,31,335000,900
25.0,female,Associate,48066.0,3,RENT,MEDICAL,15.62,0.16,2.0,No,27,271500,837
22.0,male,High School,48144.0,2,RENT,VENTURE,11.01,0.16,4.0,No,29,284500,817
22.0,female,Bachelor,51430.0,0,RENT,DEBTCONSOLIDATION,17.04,0.15,2.0,No,32,339000,882
22.0,male,Master,52351.0,3,RENT,VENTURE,14.96,0.14,3.0,No,30,303000,841
21.0,female,Master,53857.0,0,RENT,MEDICAL,7.9,0.14,3.0,No,30,300000,833
26.0,female,Associate,53824.0,2,RENT,HOMEIMPROVEMENT,16.4,0.14,3.0,No,29,313500,900
25.0,female,High School,53658.0,3,RENT,MEDICAL,13.92,0.14,3.0,No,28,299500,891
23.0,male,Bachelor,53620.0,3,RENT,VENTURE,16.0,0.14,4.0,No,30,322500,895
22.0,male,Master,62374.0,0,MORTGAGE,HOMEIMPROVEMENT,11.86,0.19,3.0,No,31,334000,897
26.0,male,Bachelor,62590.0,3,MORTGAGE,MEDICAL,15.21,0.11,4.0,No,31,350000,940
22.0,female,Bachelor,54578.0,1,RENT,DEBTCONSOLIDATION,8.49,0.14,4.0,No,30,314500,873
26.0,female,Associate,62230.0,5,MORTGAGE,MEDICAL,15.33,0.21,3.0,No,28,298500,888
24.0,female,Bachelor,61977.0,1,MORTGAGE,DEBTCONSOLIDATION,11.01,0.19,3.0,No,30,312000,866
22.0,male,Associate,63872.0,0,RENT,HOMEIMPROVEMENT,11.01,0.12,4.0,No,31,332000,892
25.0,male,Associate,64591.0,3,RENT,MEDICAL,12.92,0.12,4.0,No,29,305000,876
25.0,male,Bachelor,62820.0,3,OTHER,MEDICAL,16.07,0.21,2.0,No,30,321000,891
23.0,male,High School,63184.0,0,MORTGAGE,PERSONAL,10.99,0.08,3.0,No,30,312500,868
23.0,male,Associate,76221.0,1,RENT,HOMEIMPROVEMENT,11.97,0.1,4.0,No,29,289500,831
23.0,male,High School,77774.0,0,RENT,HOMEIMPROVEMENT,13.55,0.1,3.0,No,30,320500,890
25.0,female,Bachelor,71389.0,4,RENT,MEDICAL,15.37,0.11,4.0,No,31,336000,903
25.0,male,Associate,90174.0,2,RENT,DEBTCONSOLIDATION,12.61,0.08,4.0,No,29,307500,883
22.0,female,Bachelor,92689.0,0,RENT,HOMEIMPROVEMENT,13.24,0.08,4.0,No,29,296000,850
22.0,female,High School,80948.0,0,RENT,MEDICAL,14.96,0.09,2.0,No,30,317000,880
24.0,male,Bachelor,96374.0,0,RENT,VENTURE,16.89,0.08,4.0,No,32,346500,902
26.0,female,Bachelor,130548.0,5,RENT,DEBTCONSOLIDATION,16.77,0.06,3.0,No,31,346500,931
26.0,male,Associate,63092.0,4,MORTGAGE,MEDICAL,15.68,0.1,4.0,No,30,336500,934
24.0,male,Master,25319.0,0,RENT,VENTURE,14.79,0.3,4.0,No,30,311500,865
26.0,male,Associate,69425.0,5,RENT,MEDICAL,9.99,0.11,3.0,No,31,342500,920
22.0,female,Master,63645.0,2,MORTGAGE,DEBTCONSOLIDATION,15.62,0.23,3.0,No,29,291500,837
25.0,male,High School,47700.0,4,RENT,MEDICAL,12.84,0.16,3.0,No,28,288500,858
22.0,male,Associate,60043.0,0,RENT,EDUCATION,15.62,0.13,4.0,No,30,310000,861
25.0,female,Associate,74921.0,2,RENT,VENTURE,13.23,0.1,4.0,No,30,320000,888
22.0,female,Associate,29178.0,0,RENT,EDUCATION,5.99,0.26,2.0,No,29,294000,844
24.0,female,Bachelor,63488.0,6,MORTGAGE,EDUCATION,15.28,0.08,4.0,No,28,290500,864
25.0,male,Associate,29878.0,7,RENT,PERSONAL,8.9,0.26,3.0,No,31,345000,927
23.0,male,Master,36732.0,4,RENT,PERSONAL,16.77,0.21,4.0,No,31,323500,869
22.0,female,High School,24848.0,0,RENT,EDUCATION,14.83,0.31,3.0,No,29,291500,837
22.0,male,High School,28467.0,0,RENT,EDUCATION,11.01,0.27,4.0,No,29,291000,836
24.0,female,Associate,29862.0,0,RENT,HOMEIMPROVEMENT,17.27,0.26,3.0,No,31,330500,888
26.0,male,Bachelor,30122.0,0,RENT,DEBTCONSOLIDATION,14.35,0.26,3.0,No,30,328000,911
21.0,male,High School,32433.0,2,RENT,MEDICAL,16.7,0.24,2.0,No,32,331500,863
24.0,female,Master,41021.0,2,RENT,VENTURE,11.01,0.19,2.0,No,32,351500,915
23.0,female,Bachelor,35829.0,4,RENT,MEDICAL,14.59,0.22,3.0,No,29,298000,856
22.0,female,Associate,63365.0,0,MORTGAGE,VENTURE,11.01,0.09,3.0,No,31,334000,897
23.0,female,Bachelor,63707.0,0,MORTGAGE,PERSONAL,11.48,0.08,2.0,No,30,313500,870
25.0,male,Master,120770.0,1,RENT,PERSONAL,9.99,0.06,4.0,No,28,295500,879
23.0,female,Bachelor,40465.0,1,RENT,PERSONAL,10.95,0.19,2.0,No,31,323500,869
24.0,female,High School,41187.0,5,RENT,PERSONAL,16.49,0.19,4.0,No,30,324500,901
21.0,male,Bachelor,41913.0,0,RENT,DEBTCONSOLIDATION,13.79,0.19,2.0,No,30,306000,850
22.0,female,Master,63603.0,0,MORTGAGE,EDUCATION,13.87,0.16,2.0,No,31,332500,893
24.0,male,High School,59542.0,1,RENT,VENTURE,15.62,0.13,2.0,No,27,264000,814
23.0,male,Master,71833.0,1,RENT,DEBTCONSOLIDATION,15.99,0.11,3.0,No,30,314500,873
22.0,female,Master,39262.0,3,RENT,PERSONAL,14.91,0.2,2.0,No,31,333500,896
22.0,female,Associate,64283.0,0,MORTGAGE,DEBTCONSOLIDATION,17.26,0.3,4.0,No,32,337500,878
26.0,female,Associate,64078.0,5,MORTGAGE,HOMEIMPROVEMENT,10.95,0.05,4.0,No,30,337500,937
22.0,male,Associate,18420.0,0,RENT,HOMEIMPROVEMENT,9.99,0.43,4.0,No,30,304500,845
21.0,female,Bachelor,19931.0,0,RENT,HOMEIMPROVEMENT,7.51,0.4,4.0,No,32,337500,878
24.0,male,Associate,19837.0,1,RENT,HOMEIMPROVEMENT,13.57,0.4,2.0,No,31,337500,907
22.0,female,Associate,24211.0,0,RENT,HOMEIMPROVEMENT,16.29,0.33,3.0,No,31,331500,891
24.0,female,Associate,24202.0,0,RENT,HOMEIMPROVEMENT,13.61,0.33,3.0,No,31,332000,892
